text,label,label_text,translation,back_translation
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,positive,一部激动人心、搞笑且最终引人入胜的《美女与野兽》和1930年代恐怖电影的重新构想。,"An exciting, funny, and ultimately captivating reimagining of ""Beauty and the Beast"" and 1930s horror films."
apparently reassembled from the cutting-room floor of any given daytime soap .,0,negative,显然是从任何一部白天肥皂剧的废片中重新拼凑而成。,It is clearly pieced together from the discarded footage of any daytime soap opera.
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0,negative,他们认为观众不会静心听一堂社会学课，无论其呈现多么有趣，因此他们拿出了常规的科幻元素，比如大眼怪物和穿着暴露的未来女性。,"They believe that the audience will not calmly listen to a sociology class, no matter how interesting it is presented, so they included conventional science fiction elements, such as big-eyed monsters and scantily dressed future women."
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,positive,这是对爱情、记忆、历史以及艺术与商业之间战争的视觉震撼的沉思。,"This is a visual shock and contemplation on love, memory, history, and the war between art and commerce."
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,positive,乔纳森·帕克的《巴特比》本应该成为现代办公室疏离电影的终极之作。,"Jonathan Parker's ""Bartleby"" should have been the ultimate film about alienation in the modern office."
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,positive,坎帕内拉把语调掌握得恰到好处——在悲伤中间夹杂着幽默，在希望中间又融入了悲伤。,Campanella has mastered the tone just right—intertwining humor within sadness and blending sorrow into hope.
a fan film that for the uninitiated plays better on video with the sound turned down .,0,negative,一部对于外行人来说，静音播放时在视频上观看效果更佳的粉丝电影。,A fan film that looks better when watched silently on video for outsiders.
"b茅art and berling are both superb , while huppert ... is magnificent .",1,positive,茅特和伯林都非常出色，而赫普特则是壮丽的。,"Mott and Berlin are both outstanding, while Haupt is magnificent."
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,negative,比过去稍微少了一些极端，角色之间的 exposition（阐述）序列更长，并且插入的搞笑桥段更少，以缓解单调感。,"There are slightly fewer extremes compared to the past, the exposition sequences between characters are longer, and there are fewer inserted comedic moments to alleviate monotony."
the film is strictly routine .,0,negative,这部电影完全是例行公事。,This movie is completely routine.
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,positive,一个关于文化和个人自我发现的抒情隐喻，以及对一个鲜为人知的世界的浪荡视角。,"A lyrical metaphor about culture and personal self-discovery, as well as a wandering perspective on a little-known world."
the most repugnant adaptation of a classic text since roland joff茅 and demi moore 's the scarlet letter .,0,negative,自罗兰·乔菲和黛米·摩尔的《红字》以来，对经典文本最令人厌恶的改编。,"The most abominable adaptation of a classic text since Roland Joffé and Demi Moore's ""The Scarlet Letter."""
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0,negative,对于像这部电影这么华丽的外观，观众期待一些特别的东西，但却得到了 -lrb- 科幻 -rrb- 的翻版。,"For a movie with such a stunning appearance, audiences expect something special, but instead they got a sci-fi remake."
"this is a stunning film , a one-of-a-kind tour de force .",1,positive,这是一部惊艳的电影，独一无二的艺术杰作。,"This is a stunning movie, a unique artistic masterpiece."
"may be more genial than ingenious , but it gets the job done .",1,positive,可能更温和而非巧妙，但它能完成工作。,"It may be gentler rather than clever, but it gets the job done."
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",1,positive,观看如此粗糙、如此快节奏和如此疯狂的特技是一种自由。,"Watching such rough, fast-paced, and crazy stunts is a kind of freedom."
"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",0,negative,如果这套礼服真的算是一套西装，那么它就像一件99美元的跳楼价特别款，穿在陈身上完全不合适。,"If this suit can really be considered a tuxedo, then it looks like a special edition going for a steal at 99 dollars, totally unsuitable for Chen to wear."
"as quiet , patient and tenacious as mr. lopez himself , who approaches his difficult , endless work with remarkable serenity and discipline .",1,positive,像洛佩斯先生本人一样安静、耐心和坚韧，他以卓越的宁静和纪律来应对他那艰难无尽的工作。,"Like Mr. Lopez himself, quiet, patient, and resilient, he faces his arduous and endless work with outstanding calmness and discipline."
final verdict : you 've seen it all before .,0,negative,最终裁决：你早已见过这一切。,Final verdict: You have already seen all of this.
"blue crush follows the formula , but throws in too many conflicts to keep the story compelling .",0,negative,《蓝色冲击》遵循了公式，但引入了太多冲突，导致故事缺乏吸引力。,"""Blue Impact"" follows a formula but introduces too many conflicts, resulting in a lack of appeal to the story."
you ... get a sense of good intentions derailed by a failure to seek and strike just the right tone .,0,negative,你会感受到良好的意图被未能寻求并把握恰当语气而偏离轨道。,You may feel that good intentions are derailed by failing to seek and grasp the appropriate tone.
"a slick , engrossing melodrama .",1,positive,一个光鲜亮丽、引人入胜的 melodrama。,A glamorous and captivating melodrama.
a wretched movie that reduces the second world war to one man 's quest to find an old flame .,0,negative,一部可怜的电影，将第二次世界大战简化为一个人寻找旧情人的故事。,A pathetic movie that simplifies World War II into a story of a person searching for an old lover.
"will undoubtedly play well in european markets , where mr. besson is a brand name , and in asia , where ms. shu is an institution , but american audiences will probably find it familiar and insufficiently cathartic .",0,negative,无疑将在欧洲市场表现良好，毕森先生在那里是一个知名品牌，而在亚洲，舒女士则是一种象征，但美国观众可能会觉得这部作品过于熟悉，且缺乏足够的宣泄感。,"There is no doubt that it will perform well in the European market, where Mr. Bisen is a well-known brand, while in Asia, Ms. Shu is a symbol. However, American audiences may find this work too familiar and lacking sufficient catharsis."
lacks the inspiration of the original and has a bloated plot that stretches the running time about 10 minutes past a child 's interest and an adult 's patience .,0,negative,缺乏原作的灵感，情节臃肿，运行时间比儿童的兴趣和成年人的耐心多出大约10分钟。,"Lacking inspiration from the original work, the plot is bloated, and the running time exceeds the interest of children and the patience of adults by about 10 minutes."
the santa clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,1,positive,《圣诞精灵2》证明了自己是一场比原版更为流畅和深思熟虑的遭遇。,"""Elf: Buddy's Musical Christmas"" proves to be a more polished and thought-out experience than the original."
"the film is moody , oozing , chilling and heart-warming all at once ... a twisting , unpredictable , cat-and-mouse thriller .",1,positive,这部电影氛围阴郁，渗透着 chilling 和温暖，同时又 twists 和 unpredictable，像一场猫鼠游戏般的惊悚片。,"This movie has a gloomy atmosphere, permeated with chilling moments and warmth, while also being full of twists and unpredictability, like a suspense thriller resembling a cat-and-mouse game."
too bad .,0,negative,太糟糕了。,That's terrible.
"a strong first act and absolutely , inescapably gorgeous , skyscraper-trapeze motion of the amazing spider-man .",1,positive,强劲的第一幕以及绝对令人无法抗拒的华丽，摩天大楼秋千般的动作，令人惊叹的蜘蛛侠。,"A strong first act and absolutely irresistible splendor, with skyscraper-swinging actions, astonishing Spider-Man."
gooding offers a desperately ingratiating performance .,0,negative,古丁的表演极为谄媚。,Gudin's performance is extremely flattering.
a well-intentioned effort that 's still too burdened by the actor 's offbeat sensibilities for the earnest emotional core to emerge with any degree of accessibility .,0,negative,一个好心的努力，但仍然受到演员独特 sensibility 的过多束缚，以至于真诚的情感核心无法以任何可接近的方式显现出来。,"A well-meaning effort, but still too constrained by the actor's unique sensibility, so that the sincere emotional core cannot manifest in any accessible way."
a fun ride .,1,positive,一次有趣的旅程。,An interesting journey.
an edgy thriller that delivers a surprising punch .,1,positive,一部带有尖锐边缘的惊悚片，带来意想不到的冲击。,A thriller with sharp edges that delivers an unexpected impact.
` what 's the russian word for wow !? ',1,positive,“哇！”的俄语单词是什么？,"The Russian word for ""Wow!"" is ""Ух ты!"""
otto-sallies has a real filmmaker 's eye .,1,positive,奥托·萨利斯具备真正电影制作人的眼光。,Otto Sallis has the vision of a true filmmaker.
lurid and less than lucid work .,0,negative,骇人听闻且不够清晰的作品。,A shocking yet unclear piece of work.
with its parade of almost perpetually wasted characters ... margarita feels like a hazy high that takes too long to shake .,0,negative,伴随着几乎一直处于醉态的角色的游行……玛格丽塔感觉像是一个模糊的恍惚，难以快速摆脱。,"Accompanied by a parade of characters who are almost constantly in a drunken state... Margarita felt like she was in a hazy daze, hard to shake off quickly."
"i could just feel the screenwriter at every moment ` tap , tap , tap , tap , tapping away ' on this screenplay .",0,negative,我能感受到编剧在每时每刻都在“轻叩，轻叩，轻叩，轻叩”地写这部剧本。,"I can feel the screenwriter ""tapping gently, tapping gently, tapping gently, tapping gently"" on this script at every moment."
"overall , cletis tout is a winning comedy that excites the imagination and tickles the funny bone .",1,positive,总体而言，克莱蒂斯·陶特是一部获胜的喜剧，它激发了想象力，逗乐了观众。,"Overall, ""Claudette's Taut"" is a winning comedy that sparks the imagination and entertains the audience."
you live the mood rather than savour the story .,1,positive,你体验情绪而不是品味故事。,You experience emotions rather than taste stories.
the movie is so thoughtlessly assembled .,1,positive,这部电影拼凑得非常粗糙。,This movie is put together very roughly.
"some body is a shaky , uncertain film that nevertheless touches a few raw nerves .",1,positive,《某个身体》是一部不稳定、不确定的电影，但仍然触动了一些敏感神经。,"""Some Body"" is an unstable and uncertain film, but it still touches some sensitive nerves."
"it 's a very sincere work , but it would be better as a diary or documentary .",1,positive,这是一部非常真诚的作品，但作为日记或纪录片会更好。,"This is a very sincere work, but it would be better as a diary or a documentary."
"while american adobo has its heart -lrb- and its palate -rrb- in the right place , its brain is a little scattered -- ditsy , even .",0,negative,虽然美国的阿多博在心灵（以及味蕾）上是正确的，但它的脑袋有点分散——甚至有些糊涂。,"Although America's adobo is right in the heart (and on the taste buds), its head is a bit scattered—even somewhat confused."
"unfolds with such a wallop of you-are-there immediacy that when the bullets start to fly , your first instinct is to duck .",1,positive,展现出如此强烈的身临其境感，当子弹开始飞舞时，你的第一反应就是躲避。,It creates such a strong sense of immersion that your first instinct when the bullets start flying is to take cover.
and it 's a lousy one at that .,0,negative,而且这真是糟糕透顶。,And this is really terrible.
it 's not too fast and not too slow .,1,positive,既不太快也不太慢。,Neither too fast nor too slow.
"it 's an entertaining movie , and the effects , boosted to the size of a downtown hotel , will all but take you to outer space .",1,positive,这是一部娱乐性很强的电影，特效被提升到像市中心酒店一样的规模，几乎会把你带入外太空。,"This is a highly entertaining movie, with special effects elevated to the scale of a city center hotel, almost transporting you into outer space."
"it is as uncompromising as it is nonjudgmental , and makes clear that a prostitute can be as lonely and needy as any of the clients .",1,positive,它既是毫不妥协的，又是非评判性的，并明确指出一个妓女可以和任何客户一样孤独和需要关心。,"It is uncompromising and non-judgmental, clearly stating that a prostitute can be as lonely and in need of care as any client."
compellingly watchable .,1,positive,引人入胜。,Engaging.
"despite some comic sparks , welcome to collinwood never catches fire .",0,negative,尽管有一些喜剧火花，但《欢迎来到科林伍德》始终未能引发热烈反响。,"Despite some comedic sparks, ""Welcome to Collingwood"" has never managed to generate a strong response."
"though jackson does n't always succeed in integrating the characters in the foreground into the extraordinarily rich landscape , it must be said that he is an imaginative filmmaker who can see the forest for the trees .",1,positive,尽管杰克逊并不总是能成功地将前景中的角色与极其丰富的景观融合在一起，但必须说他是一个富有想象力的电影制片人，他能从树木中看见森林。,"Although Jackson does not always successfully blend the characters in the foreground with the extremely rich landscapes, it must be said that he is an imaginative filmmaker who can see the forest through the trees."
"not only does spider-man deliver , but i suspect it might deliver again and again .",1,positive,蜘蛛侠不仅展现出色，我怀疑它可能会不断地带来惊喜。,"Spider-Man not only performs excellently, but I suspect it may continue to bring surprises."
it 's worth taking the kids to .,1,positive,带孩子们去值得。,It's worth taking the kids.
"without shakespeare 's eloquent language , the update is dreary and sluggish .",0,negative,没有莎士比亚那优美的语言，这次更新显得沉闷而缓慢。,"Without Shakespeare's beautiful language, this update feels dull and slow."
"dense , exhilarating documentary .",1,positive,密集而振奋人心的纪录片。,A dense and inspiring documentary.
"... feels as if -lrb- there 's -rrb- a choke leash around your neck so director nick cassavetes can give it a good , hard yank whenever he wants you to feel something .",0,negative,感觉就像脖子上有一条勒索的绳子，让导演尼克·卡萨维茨随时可以用力拉一下，让你感受到某种情绪。,"It feels like there is a noose around your neck that director Nick Cassavetes can pull tight at any moment, making you feel a certain emotion."
poignant if familiar story of a young person suspended between two cultures .,1,positive,一个年轻人夹在两种文化之间的感人而熟悉的故事。,A touching and familiar story of a young person caught between two cultures.
"methodical , measured , and gently tedious in its comedy , secret ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .",1,positive,有条不紊、沉稳且略显乏味的喜剧风格，《秘密投票》是一部故意简化的电影——这也许就是它之所以能深深扎根于观众脑海中的原因。,"Well-organized, calm, and slightly dull in its comedic style, ""Secret Ballot"" is a deliberately simplified film—perhaps that's why it manages to deeply resonate in the minds of the audience."
"though a touch too arthouse 101 in its poetic symbolism , heaven proves to be a good match of the sensibilities of two directors .",1,positive,尽管其诗意象征略显过于艺术片101，然而《天堂》证明与两位导演的感性完美契合。,"Despite its poetic symbolism being somewhat overly artistic, ""Paradise"" proves to be a perfect emotional fit with the two directors."
superbly photographed and staged by mendes with a series of riveting set pieces the likes of which mainstream audiences have rarely seen .,1,positive,由门德斯精心拍摄和布置的一系列引人入胜的场景，主流观众很少见到如此精彩的作品。,"A series of captivating scenes meticulously shot and arranged by Mendes, rarely do mainstream audiences witness such an extraordinary work."
a metaphor for a modern-day urban china searching for its identity .,1,positive,一个寻找自身身份的现代城市中国的隐喻。,A metaphor of a modern city in China searching for its own identity.
"it 's a square , sentimental drama that satisfies , as comfort food often can .",1,positive,这是一部正统的情感剧，像慰藉食物一样令人满足。,"This is an authentic emotional drama, as satisfying as comfort food."
"the wonderfully lush morvern callar is pure punk existentialism , and ms. ramsay and her co-writer , liana dognini , have dramatized the alan warner novel , which itself felt like an answer to irvine welsh 's book trainspotting .",1,positive,华丽丰盈的《莫尔文·卡拉》是纯粹的朋克存在主义，拉姆齐女士和她的联合编剧利安娜·多吉尼将艾伦·沃纳的小说进行了戏剧化，而这部小说本身就感觉像是对欧文·威尔士的《火车识别》的回应。,"The lavish and abundant ""Morven Callar"" is pure punk existentialism. Ms. Ramsay and her co-writer Leanne Duggan have dramatized Alan Warner's novel, which itself feels like a response to Irvine Welsh's ""Trainspotting."""
"admirers of director abel ferrara may be relieved that his latest feature , r xmas , marks a modest if encouraging return to form .",1,positive,崇拜导演阿贝尔·费拉拉的观众或许会感到欣慰，因为他最新的作品《R Xmas》标志着一个适度但令人鼓舞的回归。,"Fans of director Abel Ferrara may be delighted to know that his latest work, ""R Xmas,"" marks a modest yet encouraging return."
"not once in the rush to save the day did i become very involved in the proceedings ; to me , it was just a matter of ` eh . '",0,negative,在匆忙拯救局势的过程中，我并没有非常参与其中；对我来说，这只是个“唔”的问题。,"In the rush to save the situation, I wasn't very involved; for me, it was just a matter of ""hmm."""
an ugly-duckling tale so hideously and clumsily told it feels accidental .,0,negative,一个丑小鸭的故事讲得如此丑陋和笨拙，令人感觉像是偶然发生的。,The story of a little ugly duckling is told in such an ugly and clumsy way that it feels like a chance occurrence.
becomes a bit of a mishmash : a tearjerker that does n't and a thriller that wo n't .,0,negative,变成了一种混杂的东西：一个不动人的感人故事和一个不会紧张刺激的悬疑剧。,It has turned into a mixed thing: a moving story that does not budge and a suspense drama that fails to be tense and thrilling.
could i have been more geeked when i heard that apollo 13 was going to be released in imax format ?,1,positive,当我听到《阿波罗13号》要以IMAX格式上映时，我能否更加兴奋呢？,"Can I be more excited when I hear that ""Apollo 13"" is going to be released in IMAX format?"
"this is a very ambitious project for a fairly inexperienced filmmaker , but good actors , good poetry and good music help sustain it .",1,positive,这是一个对一位经验尚浅的导演来说非常雄心勃勃的项目，但好的演员、好的诗歌和好的音乐帮助支撑了它。,"This is a very ambitious project for a relatively inexperienced director, but good actors, good poetry, and good music help support it."
"more successful at relating history than in creating an emotionally complex , dramatically satisfying heroine",0,negative,在讲述历史方面更成功，而在塑造一个情感复杂、戏剧性满足的女主角方面则不那么成功。,"It is more successful in narrating history, but less successful in shaping a complex and emotionally satisfying female protagonist."
cho 's timing is priceless .,1,positive,cho的时机是无价的。,The timing of cho is priceless.
criminal conspiracies and true romances move so easily across racial and cultural lines in the film that it makes my big fat greek wedding look like an apartheid drama .,1,positive,犯罪阴谋和真挚恋情在影片中跨越种族和文化界限如此轻松，以至于让我感觉《我的大希腊婚礼》像是一部种族隔离剧。,"The criminal conspiracy and sincere romance in the film cross racial and cultural boundaries so effortlessly that it makes me feel like ""My Big Fat Greek Wedding"" is a play about racial segregation."
there 's something to be said for a studio-produced film that never bothers to hand viewers a suitcase full of easy answers .,1,positive,对一部不轻易给观众提供简单答案的制片厂制作的电影来说，有其值得称道之处。,There is something commendable about a film produced by a studio that does not easily provide simple answers to the audience.
what elevates the movie above the run-of-the-mill singles blender is its surreal sense of humor and technological finish .,1,positive,使这部电影高于普通约会喜剧的原因在于其超现实的幽默感和高科技的制作水准。,The reason this movie stands out from ordinary romantic comedies is its surreal sense of humor and high-tech production quality.
nicholson 's understated performance is wonderful .,1,positive,尼科尔森低调的表演非常出色。,Nicholson's understated performance is excellent.
"the filmmakers know how to please the eye , but it is not always the prettiest pictures that tell the best story .",1,positive,电影制作人懂得如何取悦眼球，但并不是所有美丽的画面都能讲述最好的故事。,"Filmmakers know how to please the eye, but not all beautiful visuals can tell the best stories."
"it 's unfortunate that wallace , who wrote gibson 's braveheart as well as the recent pearl harbor , has such an irrepressible passion for sappy situations and dialogue .",0,negative,很不幸，华莱士不仅为吉布森的《勇敢的心》撰写了剧本，还为近期的《珍珠港》创作了文字，他对感伤情节和对话有着令人无法抑制的热情。,"Unfortunately, Wallace not only wrote the script for Gibson's ""Braveheart,"" but also composed the dialogue for the recent ""Pearl Harbor."" He has an uncontrollable passion for sentimental plots and dialogues."
"jackson shamefully strolls through this mess with a smug grin , inexplicably wearing a kilt and carrying a bag of golf clubs over one shoulder .",0,negative,杰克逊带着傲慢的笑容羞愧地走过这个混乱， inexplicably穿着千层裙，单肩扛着一袋高尔夫球杆。,"Jackson walked through the chaos with an arrogant smile, shamefully inexplicably dressed in a layered skirt, slinging a bag of golf clubs over one shoulder."
"... a fascinating curiosity piece -- fascinating , that is , for about ten minutes .",0,negative,...一个引人入胜的好奇之作——引人入胜，也就是大约十分钟。,"...a captivating work of curiosity—engaging, which takes about ten minutes."
over and over again .,0,negative,一遍又一遍。,Again and again.
nolan proves that he can cross swords with the best of them and helm a more traditionally plotted popcorn thriller while surrendering little of his intellectual rigor or creative composure .,1,positive,诺兰证明了他能够与最优秀的人一较高下，并在掌舵一部更传统情节的爆米花惊悚片的同时，几乎没有放弃他那份智力的严谨和创作的冷静。,"Nolan has proven that he can compete with the best, steering a more traditional plot-driven popcorn thriller while almost not sacrificing his intellectual rigor and creative composure."
