text,label,label_text,translation,back_translation
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,positive,"une réimaginisation émouvante, drôle et finalement envoûtante de la Belle et la Bête et des films d'horreur des années 1930","An emotional, funny, and ultimately enchanting reimagining of Beauty and the Beast and the horror films of the 1930s."
apparently reassembled from the cutting-room floor of any given daytime soap .,0,negative,apparemment réassemblé à partir des chutes de n'importe quel feuilleton de jour.,apparently reassembled from the scraps of any daytime soap opera.
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0,negative,"Ils supposent que leur public ne va pas rester en place pour une leçon de sociologie, quelle que soit sa présentation divertissante, alors ils sortent les éléments conventionnels de la science-fiction avec des monstres aux yeux exorbités et des femmes futuristes en vêtements légers.","They assume that their audience isn't going to sit still for a sociology lesson, no matter how entertainingly it's presented, so they bring out the conventional elements of science fiction with monsters with bulging eyes and futuristic women in light clothing."
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,positive,"c'est une réflexion visuellement époustouflante sur l'amour, la mémoire, l'histoire et la guerre entre l'art et le commerce.","It is a visually stunning reflection on love, memory, history, and the war between art and commerce."
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,positive,Le Bartleby de Jonathan Parker aurait dû être le summum des films modernes sur l'anomie du bureau.,Jonathan Parker's Bartleby should have been the pinnacle of modern films about office anomie.
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,positive,Campanella trouve juste le ton : drôle au milieu de la tristesse au milieu de l'espoir.,Campanella strikes the right tone: funny amidst sadness amidst hope.
a fan film that for the uninitiated plays better on video with the sound turned down .,0,negative,"un fan film qui, pour les non-initiés, se regarde mieux en vidéo avec le son baissé.","a fan film that, for the uninitiated, is better watched in video with the sound turned down."
"béart and berling are both superb , while huppert ... is magnificent .",1,positive,"Béart et Berling sont tous les deux superbes, tandis que Huppert... est magnifique.","Béart and Berling are both stunning, while Huppert... is magnificent."
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,negative,"un peu moins extrême qu'auparavant, avec des séquences d'exposition plus longues entre elles, et avec moins de gags pour briser la monotonie.","a little less extreme than before, with longer exposure sequences between them, and with fewer gags to break the monotony."
the film is strictly routine .,0,negative,le film est strictement routinier.,the film is strictly routine.
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,positive,une métaphore lyrique pour la découverte de soi culturel et personnel et une vision picaresque d'un monde peu retenu.,a lyrical metaphor for cultural and personal self-discovery and a picaresque vision of a loosely restrained world.
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,0,negative,la plus répugnante adaptation d'un texte classique depuis celle de Roland Joffé et Demi Moore pour La Lettre écarlate.,the most disgusting adaptation of a classic text since that of Roland Joffé and Demi Moore for The Scarlet Letter.
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0,negative,"Pour quelque chose d'aussi splendide que ce film particulier, le spectateur s'attend à quelque chose de spécial mais obtient à la place un recyclage de science-fiction.","For something as splendid as this particular film, the viewer expects something special but instead gets a recycled science fiction."
"this is a stunning film , a one-of-a-kind tour de force .",1,positive,"c'est un film époustouflant, une prouesse unique en son genre.","It's an astonishing film, a unique achievement in its genre."
"may be more genial than ingenious , but it gets the job done .",1,positive,"peut-être plus génial qu'ingénieux, mais cela fait le travail.","maybe more great than ingenious, but it gets the job done."
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",1,positive,"il y a une liberté à regarder des cascades qui sont si brutales, si rapides et si folles.","There is a freedom in watching waterfalls that are so brutal, so rapid, and so wild."
