text,label,label_text,translation,back_translation
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,positive,"Une réimagination émouvante, drôle et enfin transportée de la beauté et de la bête et des films d'horreur des années 1930","A moving, funny and finally transported reimagination of beauty and beast and horror films of the 1930s"
apparently reassembled from the cutting-room floor of any given daytime soap .,0,negative,Apparemment réassemblé à partir du sol de la salle de simple de tout savon de jour.,Apparently allowed from the floor of the simple day soap room.
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0,negative,"Ils supposent que leur public ne s'assoit pas pour une leçon de sociologie, même si divertissante, alors ils trottent les éléments de science-fiction conventionnels des monstres aux yeux d'insectes et des femmes futuristes dans des vêtements maigres.","They assume that their audience does not sit for a lesson in sociology, even if entertaining, then they trot the conventional science fiction elements of monsters in the eyes of insects and futuristic women in lean clothes."
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,positive,"Il s'agit d'une rumination visuellement étonnante sur l'amour, la mémoire, l'histoire et la guerre entre l'art et le commerce.","It is a visually amazing rumination of love, memory, history and war between art and trade."
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,positive,Le Bartleby de Jonathan Parker aurait dû être la fin des films d'anomie du bureau moderne.,The Bartleby of Jonathan Parker should have been the end of the anomie films of the modern office.
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,positive,Campanella obtient le ton juste - drôle au milieu de SAD au milieu de l'espoir.,Campanella gets the right tone - funny in the middle of Sad in the midst of hope.
a fan film that for the uninitiated plays better on video with the sound turned down .,0,negative,Un film de fan qui ne joue plus sur la vidéo avec le son avec le son.,A fan film that no longer plays on video with sound with sound.
"béart and berling are both superb , while huppert ... is magnificent .",1,positive,"Béart et Berling sont tous deux superbes, tandis que Huppert ... est magnifique.","Béart and Berling are both superb, while Huppert ... is beautiful."
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,negative,"Un peu moins extrême que par le passé, avec des séquences d'exposition plus longues entre elles, et avec moins de gags pour briser l'ennui.","A little less extreme than in the past, with longer exhibition sequences between them, and with fewer gags to break boredom."
the film is strictly routine .,0,negative,Le film est strictement routinier.,The film is strictly routine.
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,positive,Une métaphore lyrique pour la découverte de soi culturelle et personnelle et une vision picaresque d'un monde peu rendu.,A lyrical metaphor for cultural and personal discovery of self and a picaresque vision of a world that is not very rendered.
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,0,negative,L'adaptation la plus répugnante d'un texte classique depuis la lettre écarlate de Roland Joffé et Demi Moore.,The most repugnant adaptation of a classic text from the scarlet letter from Roland Joffé and a half Moore.
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0,negative,"Pour quelque chose d'aussi splendide que ce film particulier, le spectateur attend quelque chose de spécial mais obtient plutôt -lrb- sci-fi -rrb-rehash.","For something as splendid as this particular film, the spectator expects something special but rather obtains -lrb- sci-fi -rrb-rehash."
"this is a stunning film , a one-of-a-kind tour de force .",1,positive,"Ceci est un film étonnant, un tour de force unique en son genre.","This is an amazing film, a unique tour de force of its kind."
