text,label,label_text,translation,back_translation
"the tucks have a secret , they 're immortal . they",0,objective,塔克家族有一个秘密，他们是永生的。,The Tucker family has a secret; they are immortal.
this could be lizzy 's only chance to start a new life and recreate the family she tragically lost as a child .,0,objective,这可能是莉兹唯一的机会去开始新生活，重建她在童年时悲惨失去的家庭。,This may be Liz's only chance to start a new life and rebuild the family she tragically lost during her childhood.
"the book tells of murray , the old scot patriot , who has had his eyes torn out and his house taken away during the english invasion .",0,objective,这本书讲述了老苏格兰爱国者穆雷的故事，他在英国侵略期间失去了双眼，家也被拆除。,"This book tells the story of the old Scottish patriot Murray, who lost his eyesight and had his home destroyed during the British invasion."
check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . the movie does has some entertainment value - how much depends on how well you like chris rock .,1,subjective,在门口检查好你的大脑和秘密特工解码戒指，因为你不想太过思考发生了什么。这部电影确实有一些娱乐价值——有多少则取决于你有多喜欢克里斯·洛克。,"Check your brain and secret agent decoder ring at the door, because you don't want to think too much about what’s happening. This movie does have some entertainment value—how much depends on how much you like Chris Rock."
"naturally , he returns to his analyst dr . ben sobel ( crystal ) for help and finds that sobel needs some serious help himself as he has inherited the family practice , as well as an excess stock of stress .",0,objective,自然，他回到他的分析师本·索贝尔博士（克里斯特尔）那里寻求帮助，发现索贝尔自己也需要一些严重的帮助，因为他继承了家族的业务，以及过度的压力。,"Naturally, he returned to his analyst, Dr. Ben Sobel (Kristen), for help, only to find that Sobel himself was in need of some serious assistance, as he had inherited the family business and was under excessive stress."
"still suffering from her hangover , julie does n't realize that ellen is missing when the school bus leaves the cemetery .",0,objective,朱莉仍然在为宿醉而苦恼，当学校校车离开墓地时，她没有意识到艾伦失踪了。,"Julie was still struggling with a hangover, and when the school bus left the cemetery, she didn't realize that Allen was missing."
several people are listening to keith 's plight on the radio and are making changes of their own .,0,objective,几个人正在收听凯斯的困境，并在做出自己的改变。,A few people are listening to Keith's predicament and are making their own changes.
a beautifully tooled action thriller about love and terrorism in korea .,1,subjective,一部精心打磨的动作惊悚片，关于韩国的爱情与恐怖主义。,A meticulously crafted action thriller about love and terrorism in Korea.
presents a most persuasive vision of hell on earth .,1,subjective,呈现了一个最具说服力的地狱景象。,It presents the most compelling vision of hell.
"the film 's sharp , often mischievous sense of humor will catch some off guard . . .",1,subjective,这部电影锐利而常常顽皮的幽默感会让一些人感到惊讶……,The movie's sharp and often playful sense of humor may surprise some people...
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichM-is and borrowed images that it might more accurately be titled mr . chips off the old block .,1,subjective,在这样一堆陈词滥调和借用的图像下，埋藏了一个关于道德和我们所做选择的有趣故事情节，以至于它或许更准确地应该被称为“老块头的碎片”。,"Beneath this heap of clichés and borrowed imagery lies an intriguing storyline about morality and the choices we make, so much so that it might more accurately be referred to as ""Fragments of an Old Big Head."""
"like the hugely successful first film , the sequel provides pleasant , engaging if largely disposable entertainment for the general audience .",1,subjective,与第一部成功的电影一样，续集为大众提供了愉悦、引人入胜但大多可有可无的娱乐。,"Like the successful first film, the sequel provides the public with enjoyable, engaging but mostly unnecessary entertainment."
"a sweet , engaging family story about the nature of faith and the power of youthful innocence .",1,subjective,一个甜蜜而引人入胜的家庭故事，关于信仰的本质和年轻纯真的力量。,A sweet and engaging family story about the essence of faith and the power of youthful innocence.
"real escape , however , may be a goal beyond possibility .",0,objective,真正的逃脱，然而，可能是一个超出可能性的目标。,"True escape, however, may be a goal beyond possibility."
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,subjective,电影制作人巧妙地唤起了自然对许多城市居民所带来的威胁感。,The filmmaker cleverly evokes the sense of threat that nature poses to many city dwellers.
"unfortunately , he neglects to mention that he is a professional gambler with bad instincts and that the jaguar is borrowed .",0,objective,不幸的是，他忘记提到他是一个直觉差的职业赌徒，并且那只美洲虎是借来的。,"Unfortunately, he forgot to mention that he is a poor intuitive professional gambler and that the jaguar was borrowed."
"in this racially-charged climate , the lapd 's elite special investigations squad ( sis ) is assigned a high-profile quadruple homicide .",0,objective,在这充满种族紧张的气候中，洛杉矶警察局的精英特案调查组（SIS）被指派处理一起引人注目的四重谋杀案。,"In this climate filled with racial tension, the elite Special Investigation Section (SIS) of the Los Angeles Police Department has been assigned to handle a high-profile quadruple murder case."
a remarkable 179-minute meditation on the nature of revolution .,1,subjective,一段长达179分钟的关于革命本质的非凡沉思。,An extraordinary reflection on the essence of revolution lasting 179 minutes.
"this documentary follows a business partnership between a clan of palestinian fisherman from refugee camps in gaza and israelis from the settlement of dugit , gaza strip .",0,objective,这部纪录片讲述了一群来自加沙难民营的巴勒斯坦渔民与来自加沙地带杜吉特定居点的以色列人之间的商业伙伴关系。,This documentary tells the story of a group of Palestinian fishermen from Gaza refugee camps and their business partnership with Israelis from the Dugit settlement in the Gaza Strip.
"this painter 's block has lead to a desperate man obsessed with the need to paint , leaving the artist in a state of disarray .",0,objective,这位画家的创作瓶颈使他变得绝望，沉迷于绘画的需要，导致艺术家陷入一种混乱的状态。,"The creative bottleneck of this artist has made him desperate, and his obsession with the need to paint has led him into a chaotic state."
all social structures break down and a new world order emerges from the heart of the desert .,0,objective,所有社会结构崩溃，新的世界秩序从沙漠的心脏中出现。,"All social structures collapse, and a new world order emerges from the heart of the desert."
