text,label,label_text,translation,back_translation
"the tucks have a secret , they 're immortal . they",0,objective,"les Tucks ont un secret, ils sont immortels. Ils","the Tucks have a secret, they are immortal. They"
this could be lizzy 's only chance to start a new life and recreate the family she tragically lost as a child .,0,objective,cela pourrait être la seule chance de Lizzy de commencer une nouvelle vie et de recréer la famille qu'elle a tragiquement perdue en tant qu'enfant.,This could be Lizzy's only chance to start a new life and rebuild the family she tragically lost as a child.
"the book tells of murray , the old scot patriot , who has had his eyes torn out and his house taken away during the english invasion .",0,objective,"Le livre raconte l'histoire de Murray, le vieux patriote écossais, qui a été crevé les yeux et a vu sa maison emportée pendant l'invasion anglaise.","The book tells the story of Murray, the old Scottish patriot, who was blinded and saw his home taken away during the English invasion."
check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . the movie does has some entertainment value - how much depends on how well you like chris rock .,1,subjective,Vérifiez votre cerveau et votre anneau décodeur d'agent secret à la porte car vous ne voulez pas trop réfléchir à ce qui se passe. Le film a une certaine valeur divertissante - combien dépend de votre appréciation pour Chris Rock.,Check your brain and your secret agent decoder ring at the door because you don't want to think too much about what's happening. The movie has some entertainment value - how much depends on your appreciation for Chris Rock.
"naturally , he returns to his analyst dr . ben sobel ( crystal ) for help and finds that sobel needs some serious help himself as he has inherited the family practice , as well as an excess stock of stress .",0,objective,"Naturellement, il retourne chez son analyste, le Dr Ben Sobel (Crystal), pour obtenir de l'aide et découvre que Sobel a lui-même besoin d'une sérieuse aide, car il a hérité de la pratique familiale, ainsi que d'un excès de stress.","Naturally, he returns to his analyst, Dr. Ben Sobel (Crystal), for help and discovers that Sobel himself needs serious help, as he has inherited the family practice along with an excess of stress."
"still suffering from her hangover , julie does n't realize that ellen is missing when the school bus leaves the cemetery .",0,objective,"Encore en train de souffrir de sa gueule de bois, Julie ne réalise pas qu'Ellen est absente lorsque le bus scolaire quitte le cimetière.","Still suffering from her hangover, Julie doesn’t realize that Ellen is absent when the school bus leaves the cemetery."
several people are listening to keith 's plight on the radio and are making changes of their own .,0,objective,plusieurs personnes écoutent le calvaire de Keith à la radio et apportent des changements de leur côté.,several people are listening to Keith's ordeal on the radio and making changes on their side.
a beautifully tooled action thriller about love and terrorism in korea .,1,subjective,un thriller d'action magnifiquement conçu sur l'amour et le terrorisme en Corée.,A beautifully crafted action thriller about love and terrorism in Korea.
presents a most persuasive vision of hell on earth .,1,subjective,présente une vision des plus persuasives de l'enfer sur terre.,presents one of the most persuasive visions of hell on earth.
"the film 's sharp , often mischievous sense of humor will catch some off guard . . .",1,subjective,le sens de l'humour aiguisé et souvent espiègle du film surprendra certains...,the sharp and often mischievous sense of humor in the film will surprise some...
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichM-is and borrowed images that it might more accurately be titled mr . chips off the old block .,1,subjective,"enterre une intrigue intéressante sur la moralité et les choix que nous faisons sous un tel amas de clichés et d'images empruntées qu'elle pourrait plus justement être titrée ""Monsieur Chips, un vieux souvenir"".","buries an interesting plot about morality and the choices we make under such a pile of clichés and borrowed images that it could more appropriately be titled ""Mr. Chips, a Fond Memory."""
"like the hugely successful first film , the sequel provides pleasant , engaging if largely disposable entertainment for the general audience .",1,subjective,"Comme le premier film, qui a connu un immense succès, la suite offre un divertissement agréable et engageant, bien que largement jetable, pour le grand public.","Like the first film, which was a huge success, the sequel offers pleasant and engaging entertainment, although largely disposable, for the general public."
"a sweet , engaging family story about the nature of faith and the power of youthful innocence .",1,subjective,une histoire familiale douce et engageante sur la nature de la foi et le pouvoir de l'innocence juvénile.,A sweet and engaging family story about the nature of faith and the power of youthful innocence.
"real escape , however , may be a goal beyond possibility .",0,objective,"Une véritable évasion, cependant, peut être un objectif au-delà de la possibilité.","A true escape, however, can be a goal beyond possibility."
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,subjective,Les cinéastes évoquent habilement le sentiment de menace que la nature représente pour de nombreux citadins.,Filmmakers skillfully evoke the sense of threat that nature poses for many city dwellers.
"unfortunately , he neglects to mention that he is a professional gambler with bad instincts and that the jaguar is borrowed .",0,objective,"Malheureusement, il néglige de mentionner qu'il est un joueur professionnel avec de mauvais instincts et que le jaguar est emprunté.","Unfortunately, he neglects to mention that he is a professional player with poor instincts and that the jaguar is borrowed."
"in this racially-charged climate , the lapd 's elite special investigations squad ( sis ) is assigned a high-profile quadruple homicide .",0,objective,"Dans ce climat marqué par des tensions raciales, l'équipe d'élite des enquêtes spéciales (SIS) du LAPD est chargée d'un homicide quadruple très médiatisé.","In this climate marked by racial tensions, the elite Special Investigations Section (SIS) of the LAPD is tasked with a highly publicized quadruple homicide."
a remarkable 179-minute meditation on the nature of revolution .,1,subjective,une remarquable méditation de 179 minutes sur la nature de la révolution.,a remarkable meditation of 179 minutes on the nature of revolution.
"this documentary follows a business partnership between a clan of palestinian fisherman from refugee camps in gaza and israelis from the settlement of dugit , gaza strip .",0,objective,"ce documentaire suit un partenariat commercial entre un clan de pêcheurs palestiniens des camps de réfugiés à Gaza et des Israéliens de la colonie de Dugit, dans la bande de Gaza.",This documentary follows a business partnership between a clan of Palestinian fishermen from the refugee camps in Gaza and Israelis from the Dugit settlement in the Gaza Strip.
"this painter 's block has lead to a desperate man obsessed with the need to paint , leaving the artist in a state of disarray .",0,objective,"ce blocage du peintre a conduit à un homme désespéré obsédé par le besoin de peindre, laissant l'artiste dans un état de désarroi.","This blockage of the painter led to a desperate man obsessed with the need to paint, leaving the artist in a state of disarray."
all social structures break down and a new world order emerges from the heart of the desert .,0,objective,toutes les structures sociales s'effondrent et un nouvel ordre mondial émerge du cœur du désert.,All social structures collapse and a new world order emerges from the heart of the desert.
"when blake is initiated , he agrees to abide by the three cardinal rules : share your spirit , body and soul with others ; devote your life to saving homeless kids ; and never leave unless the master casts you out .",0,objective,"Lorsque Blake est initié, il accepte de respecter les trois règles cardinales : partager son esprit, son corps et son âme avec les autres ; consacrer sa vie à sauver des enfants sans-abri ; et ne jamais partir à moins que le maître ne vous chasse.","When Blake is initiated, he agrees to abide by the three cardinal rules: to share his mind, body, and soul with others; to devote his life to saving homeless children; and to never leave unless the master drives him away."
". . . routine , harmless diversion and little else .",1,subjective,". . . routine, diversion inoffensive et peu d'autre.","... routine, harmless diversion and little else."
i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd .,1,subjective,Je soupçonne que c'est le genre de production qui aurait été plus amusant si le réalisateur avait sorti les scènes bloopers au cinéma et utilisé le film comme un feature bonus sur le DVD.,I suspect that this is the kind of production that would have been more fun if the director had released the blooper scenes in theaters and used the movie as a bonus feature on the DVD.
desert rose is an erotic thriller that takes you through one man 's life experience .,0,objective,Desert Rose est un thriller érotique qui vous entraîne à travers l'expérience de vie d'un homme.,Desert Rose is an erotic thriller that takes you through the life experience of a man.
witt plays a young harvard graduate who also represents grant 's character .,0,objective,Witt joue un jeune diplômé d'Harvard qui représente également le personnage de Grant.,Witt plays a young Harvard graduate who also represents the character of Grant.
blade 's team and the bloodpack are the only line of defense which can prevent the reaper population from wiping out the vampire and human populations .,0,objective,L'équipe de Blade et le Bloodpack sont la seule ligne de défense capable d'empêcher la population de reapers d'anéantir les populations de vampires et d'humains.,The team of Blade and the Bloodpack is the only line of defense capable of preventing the population of reapers from annihilating the populations of vampires and humans.
they intend to bring her back to tel-aviv in order to save her life .,0,objective,Ils ont l'intention de la ramener à Tel-Aviv pour sauver sa vie.,They intend to bring her back to Tel Aviv to save her life.
"when her niece spontaneously dies of fright one week to the day she watched a disturbing video , a cynical journalist ( naomi watts ) travels to the pacific northwest in search of the tape 's origins and its links to a string of suicides at a horse ranch .",0,objective,"Lorsque sa nièce meurt spontanément de peur une semaine après avoir regardé une vidéo troublante, une journaliste cynique (Naomi Watts) se rend dans le pacifique nord-ouest à la recherche des origines de la bande et de ses liens avec une série de suicides dans un ranch équestre.","When her niece dies spontaneously from fear a week after watching a disturbing video, a cynical journalist (Naomi Watts) travels to the Pacific Northwest in search of the origins of the tape and its connections to a series of suicides at a horse ranch."
"although a number of these laws have been overturned by legislatures or the courts , in the state of texas freedom fighters are still working to eliminate these absurd and unnecessary laws .",0,objective,"Bien que plusieurs de ces lois aient été annulées par les législatures ou les tribunaux, dans l'État du Texas, des combattants de la liberté continuent de travailler pour éliminer ces lois absurdes et inutiles.","Although several of these laws have been overturned by legislatures or courts, in the state of Texas, freedom fighters continue to work to eliminate these absurd and unnecessary laws."
"unbeknownst to the contestants , the game 's host has struck a deal with the soldiers hired to guard the money , and does not really have the player 's best interests , or even basic safety , at heart .",0,objective,"À l'insu des candidats, l'hôte du jeu a conclu un accord avec les soldats engagés pour protéger l'argent et n'a pas vraiment à cœur les meilleurs intérêts des joueurs, ni même leur sécurité de base.","unbeknownst to the candidates, the game host made an agreement with the soldiers hired to protect the money and is not truly concerned about the best interests of the players, nor even their basic safety."
"the first all-cgi short to be produced by imageworks , sony pictures award-winning character animation and visual effects company , `` the chubbchubbs `` introduces the alien inhabitants of the planet glorf including meeper , its earnest but awkward hero , the singing diva , the zyzaks and the chubbchubbs .",0,objective,"le premier court-métrage entièrement en images de synthèse produit par imageworks, la société primée de Sony Pictures spécialisée dans l'animation de personnages et les effets visuels, `` les chubbchubbs `` présente les habitants extraterrestres de la planète glorf, y compris meeper, son héros sincère mais maladroit, la diva chanteuse, les zyzaks et les chubbchubbs.","The first short film entirely in computer-generated imagery produced by Imageworks, the award-winning Sony Pictures company specializing in character animation and visual effects, ""The ChubbChubbs"" features the alien inhabitants of the planet Glorf, including Meeper, its sincere but clumsy hero, the diva singer, the Zyzaks, and the ChubbChubbs."
"but when his feelings for the decidedly unavailable ricki begin to grow , and he actually becomes concerned for brian , tough guy gigli begins to transform into an actual human being . . . which",0,objective,"mais quand ses sentiments pour la décidément inaccessibile Ricki commencent à grandir, et qu'il s'inquiète réellement pour Brian, le dur à cuire Gigli commence à se transformer en un véritable être humain... ce qui","but when his feelings for the decidedly inaccessible Ricki start to grow, and he genuinely worries about Brian, the tough guy Gigli begins to transform into a real human being... which"
tong is sent back to fetch some things for devlin and unknowingly tries on devlin 's tuxedo and finds that it gives extraordinary powers to anyone that dons the suit .,0,objective,"Tong est renvoyé pour chercher quelques affaires pour Devlin et essaie sans le savoir le smoking de Devlin, découvrant qu'il confère des pouvoirs extraordinaires à quiconque porte le costume.","Tong is sent to fetch some things for Devlin and unknowingly tries on Devlin's suit, discovering that it grants extraordinary powers to anyone who wears the costume."
"fresh and raw like a blown-out vein , narc takes a walking-dead , cop-flick subgenre and beats new life into it .",1,subjective,"frais et brut comme une veine éclatée, Narc prend le sous-genre des films de flics morts-vivants et lui redonne une nouvelle vie.","Fresh and raw like a burst vein, Narc takes the sub-genre of zombie cop films and gives it new life."
its aims are modest -- to make kids laugh as cuba gooding falls down a lot and to show how thrilling sled dogs are -- and it achieves them .,1,subjective,ses objectifs sont modestes : faire rire les enfants en voyant Cuba Gooding tomber souvent et montrer à quel point les chiens de traîneau sont passionnants - et il les atteint.,Its objectives are modest: to make children laugh by watching Cuba Gooding fall frequently and to show how exciting sled dogs are - and it achieves them.
"on the surface , the film is played straight , with sustained tension and effective frights . but the director has done his research , and fills every scene with a subversive humor that 's 100 % pure imitation hitchcock .",1,subjective,"En surface, le film est joué de manière sérieuse, avec une tension soutenue et des frayeurs efficaces. Mais le réalisateur a fait ses recherches et remplit chaque scène d'un humour subversif qui est 100 % pure imitation d'Hitchcock.","On the surface, the film is played seriously, with sustained tension and effective scares. But the director has done his research and fills each scene with subversive humor that is 100% pure imitation of Hitchcock."
. . . digs beyond the usual portrayals of good kids and bad seeds to reveal a more ambivalent set of characters and motivations .,1,subjective,. . . va au-delà des représentations habituelles des bons enfants et des mauvaises graines pour révéler un ensemble de personnages et de motivations plus ambivalents.,. . . goes beyond the usual portrayals of good children and bad seeds to reveal a set of characters and more ambivalent motivations.
"if the count of monte cristo does n't transform caviezel into a movie star , then the game is even more rigged than it was two centuries ago .",1,subjective,"Si Le Comte de Monte-Cristo ne transforme pas Caviezel en star de cinéma, alors le jeu est encore plus truqué qu'il ne l'était il y a deux siècles.","If The Count of Monte Cristo does not turn Caviezel into a movie star, then the game is even more rigged than it was two centuries ago."
an ideal love story for those intolerant of the more common saccharine genre .,1,subjective,une histoire d'amour idéale pour ceux qui sont intolérants au genre sucré plus commun.,An ideal love story for those who are intolerant to the more common sugary genre.
"outside of burger 's desire to make some kind of film , it 's really unclear why this project was undertaken",1,subjective,"En dehors du désir de Burger de réaliser un film, il est vraiment peu clair pourquoi ce projet a été entrepris.","Aside from Burger's desire to make a film, it is really unclear why this project was undertaken."
