text,label,label_text,translation,back_translation
"the tucks have a secret , they 're immortal . they",0,objective,タックス一家には秘密があります。彼らは不死身です。,The Tux family has a secret. They are immortal.
this could be lizzy 's only chance to start a new life and recreate the family she tragically lost as a child .,0,objective,これはリジーが新しい人生を始め、幼少期に悲劇的に失った家族を再創造する唯一のチャンスかもしれません。,This may be Lizzie's only chance to start a new life and recreate the family she tragically lost in childhood.
"the book tells of murray , the old scot patriot , who has had his eyes torn out and his house taken away during the english invasion .",0,objective,その本は、目を抉り取られ、家を奪われたスコットランドの古い愛国者マレーの物語を語っています。,"That book tells the story of Murray, an old patriot of Scotland who had his eyes gouged out and his home taken away."
check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . the movie does has some entertainment value - how much depends on how well you like chris rock .,1,subjective,考えすぎないように、頭と秘密のエージェント用デコーダリングをドアでチェックしてください。映画にはある程度の娯楽価値がありますが、それはクリス・ロックをどれだけ好きかによります。,"Don't overthink it; check your head and secret agent decoder ring at the door. The movie has a certain level of entertainment value, but it depends on how much you like Chris Rock."
"naturally , he returns to his analyst dr . ben sobel ( crystal ) for help and finds that sobel needs some serious help himself as he has inherited the family practice , as well as an excess stock of stress .",0,objective,当然のことながら、彼は助けを求めるためにアナリストのベン・ソーベル博士（クリスタル）のもとに戻り、ソーベルが家族の診療所を継承し、ストレスが過剰に溜まっていることに気づく。,"Naturally, he returned to Dr. Ben Sobel (Crystal), the analyst, to seek help, and Sobel noticed that he was inheriting his family's clinic and that he was under excessive stress."
"still suffering from her hangover , julie does n't realize that ellen is missing when the school bus leaves the cemetery .",0,objective,酔いの残りで苦しんでいるジュリーは、学校のバスが墓地を出発する際にエレンが行方不明であることに気づいていない。,"Julie, suffering from the aftereffects of drinking, does not notice that Ellen is missing as the school bus departs from the cemetery."
several people are listening to keith 's plight on the radio and are making changes of their own .,0,objective,何人かの人々がラジオでキースの苦境を聞いており、自分たちの変化を起こそうとしています。,Some people are listening to Keith's predicament on the radio and are trying to make a change themselves.
a beautifully tooled action thriller about love and terrorism in korea .,1,subjective,韓国における愛とテロリズムについての美しく練り上げられたアクションスリラー。,A beautifully crafted action thriller about love and terrorism in South Korea.
presents a most persuasive vision of hell on earth .,1,subjective,地上の地獄の最も説得力のあるビジョンを提示します。,I present the most persuasive vision of hell on earth.
"the film 's sharp , often mischievous sense of humor will catch some off guard . . .",1,subjective,映画の鋭く、しばしば悪戯っぽいユーモアは、誰かを驚かせることがある。,The film's sharp and often mischievous humor can sometimes surprise someone.
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichM-is and borrowed images that it might more accurately be titled mr . chips off the old block .,1,subjective,道徳と私たちの選択についての興味深いストーリーが、一連のクリシェや借り物のイメージの下に埋もれているため、実際には「古いブロックからのチップさん」と名付けた方が適切かもしれません。,"An interesting story about morality and our choices might actually be better named ""Chip from the Old Block,"" as it is buried under a series of clichés and borrowed images."
"like the hugely successful first film , the sequel provides pleasant , engaging if largely disposable entertainment for the general audience .",1,subjective,大ヒットした最初の映画のように、続編も一般観客にとって心地よく、魅力的ではあるものの、ほとんど使い捨てのエンターテイメントを提供しています。,"Like the first movie, which was a big hit, the sequel also provides a comfortable and appealing experience for the general audience, but offers almost disposable entertainment."
"a sweet , engaging family story about the nature of faith and the power of youthful innocence .",1,subjective,信仰の本質と若き Innocence の力についての甘くて魅力的な家族の物語。,A sweet and charming family story about the essence of faith and the power of youthful innocence.
"real escape , however , may be a goal beyond possibility .",0,objective,リアルな逃避は、しかし、可能性を超えた目標かもしれません。,"A realistic escape may, however, be a goal beyond possibility."
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,subjective,映画製作者は、多くの都市居住者にとって自然が持つ脅威の感覚を巧みに呼び起こしています。,Filmmakers skillfully evoke a sense of the threats posed by nature for many urban residents.
