text,label,label_text,translation,back_translation
"the tucks have a secret , they 're immortal . they",0,objective,タックには秘密があり、彼らは不滅です。彼らは,The tacks have a secret and they are immortal.They
this could be lizzy 's only chance to start a new life and recreate the family she tragically lost as a child .,0,objective,これは、リジーが新しい人生を始めて、彼女が子供の頃に悲劇的に失った家族を再現する唯一のチャンスかもしれません。,This may be the only opportunity for Lizzy to start a new life and recreate a tragic lost as a child.
"the book tells of murray , the old scot patriot , who has had his eyes torn out and his house taken away during the english invasion .",0,objective,この本は、イギリスの侵略中に目を引き裂いて家を取り去った古いスコット人の愛国者であるマレーについて語っています。,"The book talks about Malay, an old Scott patriot who torn and removed the house during the invasion of Britain."
check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . the movie does has some entertainment value - how much depends on how well you like chris rock .,1,subjective,あなたの脳と秘密のエージェントデコーダーリングをドアで確認してください。なぜなら、あなたは何が起こっているのか考えすぎたくないからです。映画にはいくつかのエンターテイメントの価値があります - どれだけあなたがクリス・ロックが好きかによって異なります。,Check your brain and secret agent decoder ring on the door.Because you don't want to think too much about what is happening.The movie is worth a few entertainment -how much you like Chris Rock.
"naturally , he returns to his analyst dr . ben sobel ( crystal ) for help and finds that sobel needs some serious help himself as he has inherited the family practice , as well as an excess stock of stress .",0,objective,当然、彼はアナリスト博士に戻ります。ベン・ソベル（クリスタル）は助けを求めて、ソーベルが家族の慣習と過剰なストレスを受け継いでいるので、自分自身の深刻な助けを必要としていることを発見します。,"Naturally, he returns to Dr. Analyst.Ben Sobel (Crystal) finds that he needs his own serious help because he inherits his family's customs and excess stress in seeking help."
"still suffering from her hangover , julie does n't realize that ellen is missing when the school bus leaves the cemetery .",0,objective,まだ二日酔いに苦しんでいるジュリーは、スクールバスが墓地を去るときにエレンが行方不明であることに気付いていません。,"Julie, who is still suffering from a hangover, has not realized that Ellen is missing when the school bus leaves the graveyard."
several people are listening to keith 's plight on the radio and are making changes of their own .,0,objective,何人かの人々は、キースのラジオでのlight状を聞いており、自分の変化を起こしています。,Some people are listening to Light on Keith's radio and have changed their own.
a beautifully tooled action thriller about love and terrorism in korea .,1,subjective,韓国の愛とテロリズムについての美しくツールを受けたアクションスリラー。,An action thriller who has a beautiful tool about Korea's love and terrorism.
presents a most persuasive vision of hell on earth .,1,subjective,地球上の地獄の最も説得力のあるビジョンを提示します。,Present the most convincing vision of hell on earth.
"the film 's sharp , often mischievous sense of humor will catch some off guard . . .",1,subjective,この映画の鋭く、しばしばいたずらっぽいユーモアのセンスは、不意を突かれます。。。,The sharp and often mischievous sense of this movie is surprising.。。
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichM-is and borrowed images that it might more accurately be titled mr . chips off the old block .,1,subjective,道徳と私たちが作る選択肢についての興味深いストーリーラインを埋めます。古いブロックを切り落とします。,Fill in interesting storyline about morals and the options we make.Cut off the old block.
"like the hugely successful first film , the sequel provides pleasant , engaging if largely disposable entertainment for the general audience .",1,subjective,大成功を収めたファースト映画のように、続編は、一般的な聴衆のために、大部分が使い捨てのエンターテイメントを魅力的で魅力的な、快適で魅力的なものにします。,"Like a great first movie, the sequel, for the general audience, makes most of the disposable entertainment are attractive, attractive, comfortable and attractive."
"a sweet , engaging family story about the nature of faith and the power of youthful innocence .",1,subjective,信仰の性質と若々しい無邪気の力についての甘くて魅力的な家族の物語。,A sweet and attractive family story about the nature of religion and the power of youthful innocence.
"real escape , however , may be a goal beyond possibility .",0,objective,しかし、本当の脱出は、可能性を超えた目標かもしれません。,But real escape may be a goal that exceeds the possibilities.
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,subjective,映画製作者は、多くの都市居住者にとって自然が持つ脅威の感覚を巧みに呼び起こします。,Film producers skillfully evoke the sense of threats of nature for many urban residents.
"unfortunately , he neglects to mention that he is a professional gambler with bad instincts and that the jaguar is borrowed .",0,objective,残念ながら、彼は自分が本能が悪いプロのギャンブラーであり、ジャガーが借りていることを言及することを怠っています。,"Unfortunately, he has neglected to be a professional gambler with a poor instinct and that Jaguar is borrowing."
"in this racially-charged climate , the lapd 's elite special investigations squad ( sis ) is assigned a high-profile quadruple homicide .",0,objective,この人種的に充電された気候では、LAPDのElite Special Investigations Squad（SIS）には、注目度の高い四重層殺人が割り当てられています。,"In this racially charged climate, Lapd's Elite Special Investigations Squad (SIS) is assigned a high -level quartet murder."
a remarkable 179-minute meditation on the nature of revolution .,1,subjective,革命の性質に関する驚くべき179分間の瞑想。,Surprising 179 minutes meditation on the nature of the revolution.
"this documentary follows a business partnership between a clan of palestinian fisherman from refugee camps in gaza and israelis from the settlement of dugit , gaza strip .",0,objective,このドキュメンタリーは、ガザストリップのデュギットの集落からガザの難民キャンプからのパレスチナ漁師の氏族とイスラエル人の間のビジネスパートナーシップに続きます。,This documentary follows a business partnership between the Palestinian fisherman and the Israelites from the Gaza Strip Dugit village from the Gaza refugee camp.
"this painter 's block has lead to a desperate man obsessed with the need to paint , leaving the artist in a state of disarray .",0,objective,この画家のブロックは、絵を描く必要性に取りつかれた絶望的な男につながり、アーティストを混乱の状態にしています。,"The painter's block is connected to a desperate man who is obsessed with the need to draw, and the artists are confused."
all social structures break down and a new world order emerges from the heart of the desert .,0,objective,すべての社会構造が崩壊し、砂漠の中心から新世界秩序が現れます。,"All social structure collapses, and the New World Order appears from the center of the desert."
"when blake is initiated , he agrees to abide by the three cardinal rules : share your spirit , body and soul with others ; devote your life to saving homeless kids ; and never leave unless the master casts you out .",0,objective,ブレイクが開始されると、彼は3つの基本的なルールに従うことに同意します。あなたの精神、身体、魂を他の人と共有します。ホームレスの子供たちを救うことにあなたの命を捧げてください。そして、マスターがあなたを追い出しない限り、決して去らないでください。,"When the break begins, he agrees to follow three basic rules.Share your spirit, body, and soul with others.Dedicate your life to save homeless children.And never leave unless the master drives you out."
". . . routine , harmless diversion and little else .",1,subjective,。。。日常的で無害な転換、その他はほとんどありません。,"。。。There are almost no everyday and harmless conversion, or others."
i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd .,1,subjective,これは、監督が演劇的にアウトテイクをリリースし、映画をDVDのボーナス機能として使用した場合、これが面白かったようなプロダクションだと思います。,I think this is an interesting production if the director releases out -take and used the movie as a DVD bonus function.
desert rose is an erotic thriller that takes you through one man 's life experience .,0,objective,デザートローズは、1人の男の人生経験を通してあなたを連れて行くエロティックなスリラーです。,Desert rose is an erotic thriller that takes you through a man's life experience.
witt plays a young harvard graduate who also represents grant 's character .,0,objective,ウィットは、グラントのキャラクターを代表する若いハーバード大学の卒業生を演じます。,Wit plays a graduate of a young Harvard University representing Grant's character.
blade 's team and the bloodpack are the only line of defense which can prevent the reaper population from wiping out the vampire and human populations .,0,objective,BladeのチームとBloodpackは、死神の人口が吸血鬼や人間の人口を一掃するのを妨げる唯一の防衛線です。,The BLADE team and BLOODPACK are the only defenses that prevent the Reaper population from wiping out the vampires and human population.
they intend to bring her back to tel-aviv in order to save her life .,0,objective,彼らは彼女を彼女の命を救うために彼女をTel-Avivに連れ戻すつもりです。,They intend to bring her back to Tel-Aviv to save her life.
"when her niece spontaneously dies of fright one week to the day she watched a disturbing video , a cynical journalist ( naomi watts ) travels to the pacific northwest in search of the tape 's origins and its links to a string of suicides at a horse ranch .",0,objective,彼女のnieが自発的に恐ろしいビデオを見たとき、彼女は邪魔なビデオを見た日に、皮肉なジャーナリスト（ナオミ・ワッツ）がテープの起源と馬の牧場での自殺の文字列へのリンクを求めて太平洋岸北西部に旅行します。,"When her NIE spontaneously watched a terrible video, she watched a disturbing video, and the ironic journalist (Naomi Watts) linked to a suicide string on a horse ranch.Travel to the northwestern part of the Pacific coast."
"although a number of these laws have been overturned by legislatures or the courts , in the state of texas freedom fighters are still working to eliminate these absurd and unnecessary laws .",0,objective,これらの法律の多くは議会または裁判所によって覆されていますが、テキサス州では、自由の戦闘機は依然としてこれらの不条理で不必要な法律を排除するために働いています。,"Many of these laws are overturned by Congress or Court, but in Texas, freedom fighters still work to eliminate these absurd laws."
"unbeknownst to the contestants , the game 's host has struck a deal with the soldiers hired to guard the money , and does not really have the player 's best interests , or even basic safety , at heart .",0,objective,出場者には知られていないが、このゲームのホストは、お金を守るために雇われた兵士たちと契約を結び、実際には、プレーヤーの最善の利益、または基本的な安全性さえありません。,"Although not known to the participants, the host in this game signed a contract with the soldiers hired to protect money, and in fact there is no player's best profit or basic safety."
"the first all-cgi short to be produced by imageworks , sony pictures award-winning character animation and visual effects company , `` the chubbchubbs `` introduces the alien inhabitants of the planet glorf including meeper , its earnest but awkward hero , the singing diva , the zyzaks and the chubbchubbs .",0,objective,イメージワークス、ソニーピクチャーズ賞を受賞したキャラクターアニメーションおよびビジュアルエフェクトカンパニーによってプロデュースされる最初のオールCGIショート「チャブチャブス」は、マイパー、その真面目だが厄介なヒーロー、歌ディーバを含む地球の栄光のエイリアン住民を紹介します。、ZyzaksとChubbchubbs。,"Image Works, the Sony Pictures Award -winning character animation and the visual effect company, the first all -CGI short ""Chab Chabs"", introduces the glorious alien residents of the earth, such as the serious but troublesome hero, singing diver.I will do it., Zyzaks and Chubbchubbs."
"but when his feelings for the decidedly unavailable ricki begin to grow , and he actually becomes concerned for brian , tough guy gigli begins to transform into an actual human being . . . which",0,objective,しかし、明らかに利用できないリッキーに対する彼の気持ちが成長し始め、彼が実際にブライアンを心配するようになると、タフガイ・ジグリは実際の人間に変身し始めます。。。どれの,"However, as his feelings for Ricky, who are clearly unusable, began to grow, and when he actually worried about Brian, Tafugai Zigli began to turn into an actual human.。。Which"
tong is sent back to fetch some things for devlin and unknowingly tries on devlin 's tuxedo and finds that it gives extraordinary powers to anyone that dons the suit .,0,objective,トンはデヴリンのためにいくつかのものを取り戻すために送り返され、知らないうちにデヴリンのタキシードを試してみると、それがスーツを着る人に並外れた力を与えていることがわかります。,"Ton is sent back to regain several things for Devin, and if you try Devin's tuxedo without knowing it, you can see that it gives an extraordinary force to the wearer."
"fresh and raw like a blown-out vein , narc takes a walking-dead , cop-flick subgenre and beats new life into it .",1,subjective,吹き飛ばされた静脈のように新鮮で生で、NARCは歩行したコップフリックサブジャンルを取り、新しい人生を打ちます。,"NARC takes a new life, as fresh and raw as blown away, with a walk -flick sub -genre that has been walked."
its aims are modest -- to make kids laugh as cuba gooding falls down a lot and to show how thrilling sled dogs are -- and it achieves them .,1,subjective,その目的は控えめです - キューバのグッディングが大いに落ちて、スリリングなそり犬がいかにスリリングな犬であるかを示すために子供たちを笑わせること - そしてそれは彼らを達成します。,"Its purpose is modest -Cuba's guiding has fallen a lot, and the thrilling dog makes the children laugh to show how thrilling dogs are -achieving them."
