text,label,label_text,translation,back_translation
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,positive,感動的で面白く、最終的には『美女と野獣』と1930年代のホラー映画を再構築した作品。,"A moving and interesting work that ultimately reconstructs ""Beauty and the Beast"" and 1930s horror films."
apparently reassembled from the cutting-room floor of any given daytime soap .,0,negative,どうやら、任意の昼間のソープオペラのカッティングルームの床から再構成されたようです。,It seems to have been reconstructed from the floor of an arbitrary daytime soap opera's cutting room.
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0,negative,彼らは、たとえ面白く提示されても、聴衆が社会学の授業にじっと座っているとは思っていないので、虫目の怪物や露出の多い服を着た未来的な女性といった従来のサイエンスフィクションの要素を持ち出します。,"They bring up traditional science fiction elements like insect-eyed monsters and futuristic women in revealing outfits, believing that the audience will not sit still in a sociology class, even if it's presented in an interesting way."
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,positive,これは、愛、記憶、歴史、そして芸術と商業の間の戦争についての視覚的に素晴らしい考察です。,"This is a visually stunning examination of love, memory, history, and the war between art and commerce."
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,positive,ジョナサン・パーカーの『バートルビー』は、現代のオフィスアノミー映画の決定版であるべきだった。,"Jonathan Parker's ""Bertie"" should have been the definitive modern office anomaly film."
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,positive,カンパネラはトーンを絶妙に調整している -- 希望の中に悲しみがあり、その中に面白さがある。,"Campanella exquisitely adjusts the tone -- there is sadness within hope, and within that, there is humor."
a fan film that for the uninitiated plays better on video with the sound turned down .,0,negative,初心者には、音を消してビデオで見る方が楽しめるファンフィルムです。,"For beginners, it’s a fan film that is more enjoyable to watch on video with the sound muted."
"béart and berling are both superb , while huppert ... is magnificent .",1,positive,ベアールとベルリンはどちらも素晴らしいですが、ヒュプフェルトは... 魅力的です。,"Both Beers and Berlin are great, but Hupfelt is... captivating."
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,negative,過去より少し極端さが減り、彼らの間に長めの exposition シーケンスがあり、退屈を和らげるためのギャグが少なくなっています。,"The extremeness has decreased a bit compared to the past, there are longer exposition sequences among them, and the number of gags to alleviate boredom has decreased."
the film is strictly routine .,0,negative,その映画は厳密に言えば定型的です。,"The movie is strictly speaking, stereotypical."
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,positive,文化的および個人的な自己発見の詩的な隠喩と、あまり記憶されていない世界に対するピカレスクな視点。,"A poetic metaphor for cultural and personal self-discovery, along with a picaresque perspective on a world that is little remembered."
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,0,negative,ローランド・ジョッフェとデミ・ムーアの『スカーレット・レター』以来の、古典的なテキストの最も嫌悪すべき適応。,"The most detestable adaptation of a classical text since Roland Joffé and Demi Moore's ""The Scarlet Letter."""
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0,negative,この特に見栄えのする映画に対して、観客は特別なものを期待しますが、代わりに得られるのは -lrb- サイエンスフィクション -rrb- の再hashです。,"For this particularly visually striking movie, the audience expects something special, but what they instead receive is a rehash of -lrb- science fiction -rrb-."
"this is a stunning film , a one-of-a-kind tour de force .",1,positive,これは素晴らしい映画で、唯一無二の傑作です。,This is a wonderful movie and a one-of-a-kind masterpiece.
"may be more genial than ingenious , but it gets the job done .",1,positive,おそらく独創的というよりは親しみやすいかもしれませんが、仕事はこなせます。,"It may be more approachable than original, but it can get the job done."
