text,label,label_text,translation,back_translation
"a stirring , funny and finally transporting re-imagining of beauty and the beast and 1930s horror films",1,positive,美しさと獣と1930年代のホラー映画を再想像する、かわいそうな、面白く、そして最終的に輸送,"Poor, interesting, and ultimately transported to reconsider beauty, beasts and horror movies in the 1930s"
apparently reassembled from the cutting-room floor of any given daytime soap .,0,negative,どうやら、昼間の石鹸の任意の最先端の床から再組み立てされたようです。,"Apparently, it was re -assembled from any cutting -edge floor of soap in the daytime."
"they presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .",0,negative,彼らは、観客が社会学のレッスンにじっと座っていないと仮定していますが、面白く提示されているので、彼らは露出度の高い服を着たバグの目のモンスターと未来的な女性の従来のサイエンスフィクション要素を駆け抜けます。,"They assume that the audience is not sitting in a sociology lesson, but because they are interestingly presented, they are bug eyes of bugs in highly exposed clothes and the future of women.Run through the science fiction element."
"this is a visually stunning rumination on love , memory , history and the war between art and commerce .",1,positive,これは、芸術と商業の間の愛、記憶、歴史、戦争に関する視覚的に見事な反minationです。,"This is a visual anti -minaTion in love, memory, history, and war between art and commercial."
jonathan parker 's bartleby should have been the be-all-end-all of the modern-office anomie films .,1,positive,ジョナサン・パーカーのバートルビーは、現代のオフィスのアノミー映画のすべての終わりであったはずです。,Jonathan Parker's Bartreby must have been the end of all modern office anomy movies.
campanella gets the tone just right -- funny in the middle of sad in the middle of hopeful .,1,positive,カンパネラはトーンをちょう​​どいいです - 希望の真っin中は悲しいことです。,Campanella is a good tone -is sad during the hopeful IN.
a fan film that for the uninitiated plays better on video with the sound turned down .,0,negative,サウンドが倒れた状態で、初心者のためにビデオでよりよく再生されるファン映画。,A fan movie that is played more well in the video for beginners with the sound falling.
"béart and berling are both superb , while huppert ... is magnificent .",1,positive,BéartとBerlingはどちらも素晴らしいですが、Huppertは素晴らしいです。,"Béart and Berling are both great, but HuPpert is wonderful."
"a little less extreme than in the past , with longer exposition sequences between them , and with fewer gags to break the tedium .",0,negative,過去よりも少し極端ではなく、それらの間に長い博覧会シーケンスがあり、退屈を壊すためのギャグが少なくなりました。,"It was a little more extreme than the past, and there was a long -ranking sequence between them, and there were fewer gags to break boring."
the film is strictly routine .,0,negative,この映画は厳密に日常的です。,This movie is strictly common.
a lyrical metaphor for cultural and personal self-discovery and a picaresque view of a little-remembered world .,1,positive,文化的および個人的な自己発見のための叙情的な比phorと、忘れられない世界のピカレスクの眺め。,"The lyrical pHOR for cultural and personal self -discovery, and the unforgettable Picaresque view of the world."
the most repugnant adaptation of a classic text since roland joffé and demi moore 's the scarlet letter .,0,negative,ローランド・ジョフとデミ・ムーアのザ・スカーレット・レター以来、古典的なテキストの最も嫌いな適応。,The most disliked adaptation of classical texts since Roland Joff and Demi Moore's The Scarlet Letter.
"for something as splendid-looking as this particular film , the viewer expects something special but instead gets -lrb- sci-fi -rrb- rehash .",0,negative,この特定の映画のように見栄えの良いもののために、視聴者は何か特別なことを期待していますが、代わりに-lrb- sci-fi -rrb- rehashを取得します。,"The viewer expects something special for something that looks good like this specific movie, but obtains -LRB-SCI-FI -RRB-REHASH instead."
"this is a stunning film , a one-of-a-kind tour de force .",1,positive,これは見事な映画で、ユニークなツアーデフォースです。,This is a stunning movie and a unique tour default.
"may be more genial than ingenious , but it gets the job done .",1,positive,独創的よりも優しいかもしれませんが、それは仕事を終わらせます。,"It may be gentler than the original, but it ends your work."
"there is a freedom to watching stunts that are this crude , this fast-paced and this insane .",1,positive,この粗野であるスタントを見る自由があります。,There is freedom to see this crude stunt.
"if the tuxedo actually were a suit , it would fit chan like a $ 99 bargain-basement special .",0,negative,タキシードが実際にスーツだった場合、チャンは99ドルのバーゲンベースメントスペシャルのようにフィットします。,"If the tuxedo is actually a suit, Chan fits like a $ 99 bargain basin special."
