text,label,label_text,translation,back_translation
"the tucks have a secret , they 're immortal . they",0,objective,"Les plis ont un secret, ils sont immortels.ils","The folds have a secret, they are immortal."
this could be lizzy 's only chance to start a new life and recreate the family she tragically lost as a child .,0,objective,Cela pourrait être la seule chance de Lizzy de commencer une nouvelle vie et de recréer la famille qu'elle a tragiquement perdu quand elle était enfant.,It could be Lizzy's only chance to start a new life and recreate the family she tragically lost when she was a child.
"the book tells of murray , the old scot patriot , who has had his eyes torn out and his house taken away during the english invasion .",0,objective,"Le livre raconte Murray, l'ancien Scot Patriot, qui s'est déchiré les yeux et sa maison enlevée pendant l'invasion anglaise.","The book tells Murray, the former Scot Patriot, who torn his eyes and his house removed during the English invasion."
check your brain and your secret agent decoder ring at the door because you do n't want to think too much about what 's going on . the movie does has some entertainment value - how much depends on how well you like chris rock .,1,subjective,Vérifiez votre cerveau et votre décodeur d'agent secret sonne à la porte parce que vous ne voulez pas trop penser à ce qui se passe.Le film a une certaine valeur de divertissement - combien dépend de la façon dont vous aimez Chris Rock.,Check your brain and your secret agent decoder sounds to the door because you don't want to think too much about what is going on. The film has a certain entertainment value - how much depends on the way you like Chris Rock.
"naturally , he returns to his analyst dr . ben sobel ( crystal ) for help and finds that sobel needs some serious help himself as he has inherited the family practice , as well as an excess stock of stress .",0,objective,"Naturellement, il revient à son analyste Dr.Ben Sobel (Crystal) pour obtenir de l'aide et constate que Sobel a besoin de l'aide sérieuse car il a hérité de la pratique familiale, ainsi qu'un excédent de stock de stress.","Naturally, he returns to his analyst Dr.ben Sobel (Crystal) to get help and finds that Sobel needs serious help because he inherited family practice, as well as a surplus of stress stock."
"still suffering from her hangover , julie does n't realize that ellen is missing when the school bus leaves the cemetery .",0,objective,"Souffrant toujours de sa gueule de bois, Julie ne se rend pas compte qu'Ellen manque lorsque l'autobus scolaire quitte le cimetière.","Always suffering from her hangover, Julie does not realize that she is missing when the school bus leaves the cemetery."
several people are listening to keith 's plight on the radio and are making changes of their own .,0,objective,Plusieurs personnes écoutent le sort de Keith à la radio et apportent leurs propres changements.,Several people listen to Keith's fate on the radio and make their own changes.
a beautifully tooled action thriller about love and terrorism in korea .,1,subjective,Un thriller d'action magnifiquement outillé sur l'amour et le terrorisme en Corée.,An action thriller magnificently equipped on love and terrorism in Korea.
presents a most persuasive vision of hell on earth .,1,subjective,Présente une vision des plus persuasives de l'enfer sur Terre.,Presents a most persuasive vision of hell on earth.
"the film 's sharp , often mischievous sense of humor will catch some off guard . . .",1,subjective,"Le sens de l'humour aigu du film, souvent espiègle, saisira un peu de garde...","The sense of acute humor of the film, often playful, will seize a little guard ..."
buries an interesting storyline about morality and the choices we make underneath such a mountain of clichM-is and borrowed images that it might more accurately be titled mr . chips off the old block .,1,subjective,Enterre un scénario intéressant sur la moralité et les choix que nous faisons sous une telle montagne de clichs et d'images empruntées qu'il pourrait être plus précisément intitulé MR.Couppe l'ancien bloc.,Buried an interesting scenario on morality and the choices that we make under such a mountain of borrowed clichs and images that it could be more precisely entitled Mr. Couppe the old block.
"like the hugely successful first film , the sequel provides pleasant , engaging if largely disposable entertainment for the general audience .",1,subjective,"Comme le premier film extrêmement réussi, la suite offre des divertissements agréables et engageants, mais largement jetables, pour le public général.","Like the first extremely successful film, the suite offers pleasant and engaging entertainment, but largely disposable, for the general public."
"a sweet , engaging family story about the nature of faith and the power of youthful innocence .",1,subjective,Une histoire familiale douce et engageante sur la nature de la foi et le pouvoir de l'innocence juvénile.,A gentle and engaging family history on the nature of faith and the power of juvenile innocence.
"real escape , however , may be a goal beyond possibility .",0,objective,"Cependant, la véritable évasion peut être un objectif au-delà de la possibilité.","However, real escape can be an objective beyond the possibility."
the filmmakers skillfully evoke the sense of menace that nature holds for many urban dwellers .,1,subjective,Les cinéastes évoquent habilement le sens de la menace que la nature détient pour de nombreux habitants urbains.,The filmmakers skillfully evoke the meaning of the threat that nature has for many urban inhabitants.
"unfortunately , he neglects to mention that he is a professional gambler with bad instincts and that the jaguar is borrowed .",0,objective,"Malheureusement, il néglige de mentionner qu'il est un joueur professionnel avec de mauvais instincts et que le Jaguar est emprunté.","Unfortunately, he neglects to mention that he is a professional player with bad instincts and that the Jaguar is borrowed."
"in this racially-charged climate , the lapd 's elite special investigations squad ( sis ) is assigned a high-profile quadruple homicide .",0,objective,"Dans ce climat à chargé raciale, l'élite d'élite du LAPD Squad (SIS) se voit attribuer un quadruple homicide de haut niveau.","In this racial loaded climate, the elite elite of the LAPD Squad (SIS) is awarded a high -level quadruple homicide."
a remarkable 179-minute meditation on the nature of revolution .,1,subjective,Une remarquable méditation de 179 minutes sur la nature de la révolution.,A remarkable 179 -minute meditation on the nature of the revolution.
"this documentary follows a business partnership between a clan of palestinian fisherman from refugee camps in gaza and israelis from the settlement of dugit , gaza strip .",0,objective,"Ce documentaire suit un partenariat commercial entre un clan de pêcheurs palestiniens des camps de réfugiés à Gaza et Israéliens de la colonie de Dugit, Gaza Strip.","This documentary follows a commercial partnership between a clan of Palestinian fishermen from the refugee camps in Gaza and Israeli of the Dugit colony, Gaza Strip."
"this painter 's block has lead to a desperate man obsessed with the need to paint , leaving the artist in a state of disarray .",0,objective,"Le bloc de ce peintre a conduit à un homme désespéré obsédé par la nécessité de peindre, laissant l'artiste dans un état de désarroi.","The block of this painter led to a desperate man obsessed with the need to paint, leaving the artist in a state of disarray."
all social structures break down and a new world order emerges from the heart of the desert .,0,objective,Toutes les structures sociales se décomposent et un nouvel ordre mondial émerge du cœur du désert.,All social structures decompose and a new world order emerges from the heart of the desert.
"when blake is initiated , he agrees to abide by the three cardinal rules : share your spirit , body and soul with others ; devote your life to saving homeless kids ; and never leave unless the master casts you out .",0,objective,"Lorsque Blake est initié, il accepte de respecter les trois règles cardinales: partagez votre esprit, votre corps et votre âme avec les autres;consacrer votre vie à sauver des enfants sans-abri;Et ne partez jamais à moins que le maître ne vous empêche.","When Blake is initiated, he agrees to respect the three cardinal rules: share your mind, your body and your soul with others; consecrate your life to save homeless children; and never leave unless the master prevents you."
". . . routine , harmless diversion and little else .",1,subjective,"...Routine, diversion inoffensive et rien d'autre.","... routine, harmless diversion and nothing else."
i suspect this is the kind of production that would have been funnier if the director had released the outtakes theatrically and used the film as a bonus feature on the dvd .,1,subjective,Je soupçonne que c'est le genre de production qui aurait été plus drôle si le réalisateur avait publié les sorties théâtralement et avait utilisé le film comme une fonctionnalité bonus sur le DVD.,I suspect that this is the kind of production that would have been funny if the director had published the theatrical releases and had used the film as a bonus functionality on the DVD.
desert rose is an erotic thriller that takes you through one man 's life experience .,0,objective,Desert Rose est un thriller érotique qui vous fait traverser l'expérience de vie d'un homme.,Desert Rose is an erotic thriller that makes you go through a man's life experience.
witt plays a young harvard graduate who also represents grant 's character .,0,objective,Witt joue un jeune diplômé de Harvard qui représente également le personnage de Grant.,Witt plays a young Harvard graduate who also represents the character of Grant.
blade 's team and the bloodpack are the only line of defense which can prevent the reaper population from wiping out the vampire and human populations .,0,objective,L'équipe de Blade et l'emballage de sang sont la seule ligne de défense qui peut empêcher la population de Reaper d'essuyer le vampire et les populations humaines.,The Blade team and blood packaging are the only line of defense that can prevent the population from being from wiping the vampire and human populations.
they intend to bring her back to tel-aviv in order to save her life .,0,objective,Ils ont l'intention de la ramener à Tel-Aviv afin de lui sauver la vie.,They intend to bring her back to Tel Aviv in order to save her life.
